Код,Тип,Наименование,Локация,Дата,Количество,Примечание
p001,photo,"Встреча Президента Казахской ССР Н.А. Назарбаева с Президентом Турецкой Республики Т. Озалом, прибывшим в Казахстан по приглашению",г. Алма- Ата,14.03.1991,1,Искать по дате
p002,photo,"Встреча Президента Казахской ССР Н.А. Назарбаева со Старшим министром Республики Сингапур Ли Куан Ю, прибывшим по приглашению Президента в  г. Алма-Ату",г. Алма- Ата,19.09.1991,1,Искать по дате
p003,photo,"Встреча  Президента  РК Н.А. Назарбаева с Председателем Исполкома Организации освобождения Палестины Я. Арафатом, прибывшим в Ка­захстан с рабочим визитом",г. Алма-Ата,23.12.1991,1,Искать по дате
p004,photo,"Официальный визит Президента  РК Н.А. Назарбаева в Республику Индия. Встреча с Президентом Индии  Р. Венкатараманом",г. Дели,21.02.1992,2,Искать по дате
p005,photo,Официальный визит Президента  РК Н.А. Назарбаева в Соединенные Штаты Америки. Встреча с Президентом Дж. Бушем,г. Вашингтон,18.05.1992,2,Искать по дате
p006,photo,"Встреча Президента  РК Н.А. Назарбаева с Президентом Франции Ф. Миттераном, в рамках работы саммита Совещания по безопасности и сотрудничеству в Европе (СБСЕ)","г. Хельсинки",10.07.1992,1,Искать по дате
p007,photo,"Официальный визит Президента РК Н.А. Назарбаева в Федеративную Республику Германия. Встреча с Федеральным канцлером ФРГ Г. Колем","г. Бонн",23.09.1992,1,Искать по дате
p008,photo,"Встреча  Президента  РК Н.А. Назарбаева с Президентом Финляндской Республики М. Койвисто, прибывшим в Казахстан с официальным визитом",Алма-Ата,28.09.1992,1,Искать по дате
p009,photo,"Встреча  Президента  РК Н.А. Назарбаева с Президентом Республики Узбекистан И. Каримовым, в рамках встречи глав государств и правительств республик Средней Азии",г. Ташкент,04.01.1993,1,Искать по дате
p010,photo,"Встреча  Президента  РК Н.А. Назарбаева с Председателем Верховного Совета Республики Таджикистан Э. Рахмоновым, прибывшим в Казахстан с официальным визитом",г. Алматы,13.01.1993,1,Искать по дате
p011,photo,Официальный визит Президента РК Н.А. Назарбаева в Арабскую Республику Египет. Встреча с Президентом Египта Х. Мубараком,г. Каир,13.02.1993,2,Искать по дате
p012,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Турецкой Республики Т. Озалом, прибывшим в Казахстан с официальным визитом",Алматы,09.04.1993,1,Искать по дате
p013,photo,"Встреча Президента РК Н.А. Назарбаева с Федеральным канцлером Австрийской Республики Ф. Враницким, прибывшим в Казахстан с официальным визитом",г. Алматы,26.04.1993,1,Искать по дате
p014,photo,Официальный визит Президента РК Н.А. Назарбаева в Туркменистан. Встреча Президента РК Н.А. Назарбаева с Президентом Туркменистана С.А. Ниязовым,Ашхабад,18.05.1993,1,Искать по дате
p015,photo,"Участие Президентов в торжественных мероприятиях, посвященных Толе би, Казыбек би и Айтеке би, состоявшихся в урочище Ордабасы","ЮКО, урочище Ордабасы",28.05.1993,1,Искать по дате
p016,photo,"Встреча  Президента РК Н.А. Назарбаева с Председателем Парламента  и главой государства  Э. Шеварднадзе, прибывшим в Казахстан с рабочим визитом",г. Алматы,01.06.1993,1,Искать по дате
p017,photo,Официальный визит Президента РК Н.А. Назарбаева в Таиланд. Встреча с Королем Таиланда Пумипоном Абдульядетом (Рамой IX),г. Бангкок,21.07.1993,1,Искать по дате
p018,photo,"Встреча  Президента  РК Н.А. Назарбаева с Президентом Франции Ф. Миттераном, прибывшим в Казахстан с официальным визитом",г. Алматы ,16.09.1993,1,Искать по дате
p019,photo,"Встреча Президента РК Н.А. Назарбаева с Председателем Верховного Совета Таджикистана Э. Рахмоновым",г. Алматы,25.01.1994,1,Искать по дате
p020,photo,Официальный визит Президента РК Н.А. Назарбаева в Соединенные Штаты Америки. Встреча с Президентом США Б. Клинтоном,"Вашингтон, Белый дом",14.02.1994,2,Искать по дате
p021,photo,Официальный визит Президента РК Н.А. Назарбаева в Испанию. Встреча с Королем Хуаном Карлосом I,г. Мадрид,23.03.1994,1,Искать по дате
p022,photo,"Официальный визит Президента РК Н.А. Назарбаева в Японию. Встреча с Императором Японии Акихито",г. Токио,06.04.1994,1,Искать по дате
p023,photo,"Встреча Президента РК Н.А. Назарбаева с генерал-губернатором Австралии У.Д. Хэйденом, прибывшим в Казахстан с официальным визитом",г. Алматы,12.04.1994,1,Искать по дате
p024,photo,Официальный визит Президента РК Н.А. Назарбаева в Эстонию. Встреча с Президентом Эстонии Л. Мери,г. Таллин,07.08.1994,1,Искать по дате
p025,photo,Официальный визит Президента РК Н.А. Назарбаева в Литовскую Республику. Встреча с руководителем Литвы А. Бразаускасом,г. Вильнюс,09.08.1994,1,Искать по дате
p026,photo,Официальный визит Президента РК Н.А. Назарбаева в Украину. Встреча  с Президентом Украины Л. Кучмой,г. Киев,10.08.1994,1,Искать по дате
p027,photo,Государственный визит Президента РК Н.А. Назарбаева  в Республику Узбекистан. Встреча  с Президентом Узбекистана И.А. Каримовым,г. Ташкент,10.01.1994,1,Искать по дате
p028,photo,Рабочий  визит Президента РК Н.А. Назарбаева во Французскую Республику.  Встреча с Президентом Франции Ф. Миттераном,г. Париж,18.02.1994,1,Искать по дате
p029,photo,Официальный визит Президента РК Н.А. Назарбаева в Венгерскую Республику.  Встреча с Президентом Венгрии А. Генцем,г. Будапешт,04.12.1994,1,Искать по дате
p030,photo,Официальный визит Президента РК Н.А. Назарбаева в Российскую Федерацию. Встреча с Президентом РФ Б. Ельциным,г. Москва,28.03.1994,1,Искать по дате
p031,photo,Официальный визит Президента РК Н.А. Назарбаева в Королевство Саудовской Аравии. Встреча с королем Фахдом бен Абделем Азизом,Эр-Рияд,25.09.1994,1,Искать по дате
p032,photo,"Встреча Президента РК Н.А. Назарбаева с главами государств Центральной Азии,  в рамках совещания глав государств Центральной Азии по проблемам сохранения Арала",г. Дашховуз,03.03.1995,1,
p033,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Франции Ж. Шираком в рамках рабочего визита во Францию",г. Париж,06.06.1995,1,
p034,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Республики Индонезия М. Сухарто, прибывшим в Казахстан с рабочим визитом",г. Алматы,07.04.1995,1,
p035,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Турции С. Демирелем, прибывшим в Казахстан с рабочим визитом",г. Алматы,12.06.1995,1,
p036,photo,"Рабочий визит Президента РК Н.А. Назарбаева в Республику Узбекистан. Встреча с Президентом И.А. Каримовым",г. Ташкент,19.09.1995,1,
p037,photo,Рабочий визит Президента РК Н.А. Назарбаева в Российскую Федерацию. Встреча с Президентом РФ Б.Н. Ельциным,г. Москва,20.01.1995,1,
p038,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Украины Л.Д. Кучмой, прибывшим в Казахстан с официальным визитом",г. Алматы,21.09.1995,1,
p039,photo,Встреча Президента РК Н.А. Назарбаева с Президентом Белоруссии А. Лукашенко в рамках 50-сессии ООН,г. Нью-Йорк,22.10.1995,1,
